Word,POS Tag
dokternya,NN
ramah,NN
diagnosanya,NN
tdk,NN
membingungkan,NN
nyoba,JJ
ud,JJ
langsung,NN
dokter,NN
favorit,NN
yeeeeeay,NN
konsultasi,NN
vcol,NN
gratisan,JJ
jg,NN
lg,NN
terima,NN
ksh,NN
yesdok,NN
terima,NN
ksh,NN
jg,NN
dokterku,NN
semoga,NN
berkah,NN
sehat,WP
aamiin,VBD
yesdok,NN
aplikasi,NN
membantu,NN
jam,NN
melayani,NN
konsultasi,NNP
onlin,NN
via,IN
telepon,NN
chat,WP
video,VBZ
call,NN
keren,NNS
terimakasih,VBP
yesdok,CD
membantu,NN
mudah,NN
gampang,NN
menerima,NN
informasi,NN
konsultasi,NN
kesehatan,VBD
trima,JJ
kasih,NN
yesdok,NN
tq,NN
aplikasi,NN
yesdok,NN
makasih,NN
konsultasinya,NN
ye,NN
dok,NN
aplikasi,NN
bermanfaat,NN
konsultasi,NN
kesehatan,NN
membantu,NN
bangett,NN
konsultasi,NN
privat,NN
solusi,NN
bagu,NN
suka,NN
aplikasi,NN
nya,JJ
dokternya,NN
ramah,NN
aplikasi,NN
bagu,NN
ckp,NN
membantu,NN
konsul,NN
dgn,NN
dokter,NN
recommend,VBP
resep,NN
ditebu,NN
kadang,NN
apotik,VBP
k,NN
blum,NN
support,NN
erecip,VBD
cba,NN
cari,NN
apotik,NN
aja,NN
saran,NN
banyakin,FW
metod,NN
pembayaran,NN
kayak,NNP
shope,NN
tokp,NN
dll,NN
pilihan,NN
menu,NN
nya,JJ
lengkap,NN
n,JJ
mudah,NN
dimengerti,NN
event,NN
sosm,NN
nya,NN
menarik,NN
inform,NN
recommend,VBP
utk,JJ
dimiliki,NN
aplikasinya,JJ
membantu,RBS
live,JJ
ig,NN
edukasii,NN
yanh,NN
host,NN
nya,JJ
jg,NN
cakep,NN
alhamdulillah,JJ
aplikasi,NN
memudahkan,NN
seputar,NN
kesehatan,NNP
langsung,NN
dokternya,NN
coba,NNS
pake,VBP
aplikasi,JJ
biar,NN
penyakit,NN
keren,NNS
yesdok,VBP
konsultasi,JJ
ilmu,NN
bermanfaat,NN
sere,RB
live,JJ
ya,NN
menjelang,NN
ngabuburit,NN
menambah,NN
wawasan,JJ
seputar,NN
kesehatan,NN
hamil,NN
seneng,NN
konsultasi,NN
yesdok,NN
respon,NN
cepat,NN
analisa,NN
percayakan,NN
yesdok,NN
karna,FW
pelayanannya,NN
cepat,NN
akurat,NN
dokternya,NN
alhamdulillah,NN
utk,JJ
igliv,NN
x,NNP
sy,NN
pua,NN
dgn,NN
info,NN
utk,JJ
kesehatan,NN
mulut,NN
gigi,NN
durasi,NN
iglivenya,NN
klu,NN
diperpjng,NN
lg,NN
smp,NN
sktr,NN
jam,NN
klu,NN
dr,NN
pertnyan,JJ
peserta,NN
bahasnya,NN
memkn,NN
wkt,NN
jd,NN
berharapnya,NN
utk,JJ
pertnyan,JJ
baha,NN
dgn,NN
bnyknya,NN
baha,NN
menambah,NN
ilmu,NN
bg,NN
smua,NN
peserta,NN
iglivenya,NN
mgkn,NN
utk,JJ
hostnya,NN
sndr,NN
yesdok,NN
sere,RB
ya,RB
ngadain,JJ
acara,JJ
igliv,NN
spt,NN
trmksh,NN
ya,NN
yesdok,NN
salam,NN
sehat,WP
suks,VBZ
utk,JJ
yesdok,NN
siang,NN
live,JJ
instagram,NN
yesdok,NN
ilmu,NN
bau,NN
mulut,NN
berpuasa,NN
detail,NN
konsultasi,NN
grati,NN
baca,NN
artikel,NN
dokternya,NN
ramah,NN
fast,RB
respon,NN
ramah,NN
pelayanan,NN
nya,NN
memuaskan,NN
keren,NNS
app,VBP
nya,JJ
konsul,NN
onlin,NN
tp,NN
tatap,NN
muka,NN
langsung,NN
dokternya,NN
krn,NN
via,IN
vc,NN
dpt,NN
info,NN
pa,NN
webinar,NN
penjelasan,JJ
dokternya,NN
webinar,NN
jg,NN
mudah,NN
pahami,JJ
overal,JJ
mantap,NN
webinar,NN
ye,NN
dok,NN
membuka,NN
wawasan,JJ
pengetahuan,JJ
perih,NN
dunia,NN
kesehatan,NN
terima,NN
kasih,NN
ye,NN
dok,NN
fast,RB
respon,JJ
recommend,VBP
thank,NN
yesdok,NN
kenal,JJ
aplikasi,NN
webinar,NN
kantor,NN
mengangkat,NN
tema,NN
imun,NN
tubuh,NN
pola,NN
makan,NN
sehat,WP
sempurna,VBZ
nyoba,JJ
aplikasi,NN
semoga,NN
bagu,NN
ramah,NN
pelayanannya,NN
rekomen,NNS
aplikasi,VBP
trimakasih,JJ
yesdok,NN
pake,NN
pin,NN
susah,NN
leor,NN
memuaskan,NN
pengisian,JJ
tanggal,NN
lahir,NN
daftarkan,NN
asurani,NN
anak,NN
ga,NN
keren,NNS
aplikasinya,VBP
kenal,JJ
aplikasi,NN
webinar,NN
angkat,NN
isu,JJ
mental,JJ
health,NN
wfh,NN
suka,NN
temanya,NN
relat,JJ
webinar,NN
luput,VBD
perhatikan,JJ
